ShopName,Date,Prefecture,longitude,latitude,Open,genres
さかい珈琲 大和高田店,2021-11-11,奈良県,135.732921215679,34.493689101783744,1, #コーヒー
珈琲所コメダ珈琲店 セブンパーク天美店,2021-11-11,大阪府,135.54126747048537,34.59297553735473,1, #コーヒー
スターバックスコーヒー尾道高須店,2021-11-11,広島県,133.23488531567807,34.43305700501189,1, #コーヒー
むさしの森珈琲 相模原横山店,2021-11-10,神奈川県,139.3619757156976,35.56797824378129,1, #コーヒー
カフェ・ド・クリエ 大垣西インター店,2021-11-09,岐阜県,136.5884478908684,35.377854805810145,1, #コーヒー
POP BY COFFEE,2021-11-08,石川県,136.64461121571512,36.56460868862458,1, #コーヒー
Whim Coffee Stand (ウィムコーヒースタンド),2021-11-08,東京都,139.64837581569998,35.70611573621338,1, #コーヒー
KROOME COFFEE,2021-11-06,大阪府,135.486338515682,34.66955229239258,1, #コーヒー
スターバックスコーヒー セブンパーク天美店,2021-11-03,大阪府,135.54176082925076,34.59236240279253,1, #コーヒー
スターバックスコーヒー京王笹塚店,2021-11-02,東京都,139.66531603192996,35.67361680728281,1, #コーヒー
ドトールコーヒーショップ 横須賀中央駅前店,2021-11-02,神奈川県,139.6686726156924,35.27932215951516,1, #コーヒー
ぱんだこーひー,2021-11-01,岡山県,133.94109891568212,34.67132289229778,1, #コーヒー
さかい珈琲 大安寺店,2021-10-30,奈良県,135.817802017649,34.66684353768813,1, #コーヒー
スターバックスコーヒー岡山平井店,2021-10-29,岡山県,133.95033752367297,34.63382054859189,1, #コーヒー
Z/X coffee 高岳店,2021-10-28,愛知県,136.91695531569079,35.17382046523835,1, #コーヒー
タリーズコーヒー アリオ加古川店,2021-10-27,兵庫県,134.8496352926396,34.72818017798257,1, #コーヒー
Single O Hamacho,2021-10-27,東京都,139.78875882925195,35.68410718806823,1, #コーヒー
星乃珈琲店 道頓堀店,2021-10-27,大阪府,-1,-1,1, #コーヒー
珈琲所コメダ珈琲店 高崎飯塚店,2021-10-27,群馬県,139.0065427157112,36.34117480110208,1, #コーヒー
猿田彦珈琲 名古屋 則武新町店,2021-10-27,愛知県,136.8777393156908,35.179988364904176,1, #コーヒー
スターバックスコーヒー岡崎針崎店,2021-10-25,愛知県,137.15035844411676,34.91840076000652,1, #コーヒー
珈琲所コメダ珈琲店 プラットモール長崎店,2021-10-22,長崎県,129.86223646295994,32.770137825285474,1, #コーヒー
スターバックスコーヒー フルルガーデン八千代店,2021-10-20,千葉県,140.1171758250341,35.722049036997106,1, #コーヒー
スターバックスコーヒー名古屋則武新町2階店,2021-10-20,愛知県,136.87852145828376,35.17949533738603,1, #コーヒー
スターバックスコーヒー名古屋則武新町1階店,2021-10-20,愛知県,136.87852145828376,35.17949533738603,1, #コーヒー
星乃珈琲店 那覇オーパ店,2021-10-19,沖縄県,127.67800596231818,26.211668683741323,1, #コーヒー
CHIMNEY COFFEE 渋谷本店,2021-10-17,東京都,139.6983698156991,35.656918938911446,1, #コーヒー
スターバックスコーヒー イーアス春日井店,2021-10-15,愛知県,136.9818848041637,35.25889760681924,1, #コーヒー
珈琲家暖香 一宮木曽川店,2021-10-14,愛知県,136.77687641569344,35.33675265639335,1, #コーヒー
SWELL COFFEE ROASTERS（スウェル コーヒー ロースターズ）,2021-10-14,東京都,139.6970382156988,35.64691053946007,1, #コーヒー
ハワイ カウコーヒー JR大宮駅店,2021-10-13,埼玉県,139.62437852925225,35.90634298502259,1, #コーヒー
FREAK COFFEE ROASTERS,2021-10-10,愛知県,137.01740281569096,35.18320366473017,1, #コーヒー
珈琲所コメダ珈琲店 ダイエー武蔵村山店,2021-10-08,東京都,139.3767110157005,35.735707334589044,1, #コーヒー
タリーズコーヒー ＆TEA水戸エクセル店,2021-10-07,茨城県,140.47437321619284,36.37132294642823,1, #コーヒー
ドトールコーヒーショップ 城南信用金庫瀬谷店,2021-10-03,神奈川県,139.4810051145638,35.470118470210956,1, #コーヒー
珈琲所コメダ珈琲店 東池袋一丁目店,2021-10-01,東京都,139.7137865157003,35.7292232349449,1, #コーヒー
スターバックスコーヒー阪神梅田本店 9階店,2021-10-01,大阪府,135.4968846019544,34.70102782106016,1, #コーヒー
