Date,ShopName,Prefecture,longitude,latitude,Open
2021-11-11,カレーのエース,兵庫県,135.40381552059566,34.7531110288678,1
2021-11-11,タイガーカレー イオン札幌桑園店,北海道,141.330170122682,43.068842715237814,1
2021-11-11,京都スパイスカレーKAAYA,京都府,135.79253031568666,34.93945587790024,1
2021-11-10,キーマカレーの店 marsh,北海道,144.39590071584144,43.00282390225852,1
2021-11-10,金沢カレー研究所 奈良葛城店,奈良県,135.73220027975472,34.485016595128506,1
2021-11-08,カレーの子 くろしお,北海道,141.31919277682186,43.07053617677126,1
2021-11-06,Spicy curry N&R,大阪府,135.53850131568345,34.746399388276075,1
2021-11-05,KITCHEN826（キッチンハチニイロク）,群馬県,139.37001294889333,36.3028486582209,1
2021-11-05,100時間カレー イオンモール鈴鹿店,三重県,136.52941881568543,34.87176858154392,1
2021-11-03,欧風カレーイナバ,東京都,139.56065271569983,35.70304103638221,1
2021-11-02,マイカリー食堂 宝塚安倉店（松屋併設）,兵庫県,135.37322910302407,34.795243550333836,1
2021-10-26,ナンカレーハウス マウントエベレスト,愛知県,136.942329815691,35.206944963443114,1
2021-10-25,HOUSE DA CURRY / ハウス・ダ・カリー,群馬県,139.19527081571005,36.277109704667666,1
2021-10-24,タイガーカレー紋別店,北海道,143.3537499674157,44.35052834323026,1
2021-10-21,kanakoのスープカレー屋さん ブランチ横浜南部市場店,神奈川県,139.63484109324327,35.38129421064678,1
2021-10-20,宮本カレー渋谷道玄坂店,東京都,139.69431077381168,35.65835443873686,1
2021-10-20,mitomuya（ミトムヤ）,広島県,132.47002910389625,34.46696695627257,1
2021-10-20,日乃屋カレー 神戸元町店,兵庫県,135.18548671568237,34.68920659134048,1
2021-10-18,まな愛カレー,東京都,139.70480691430683,35.69649140025661,1
2021-10-16,ナマステヒマール,東京都,139.81210479542983,35.70754561904126,1
2021-10-13,日乃屋カレー 犬山店,愛知県,136.94756821569345,35.343111656047384,1
2021-10-13,100時間カレー イオンモール府中店,広島県,132.4974249815253,34.39449106471128,1
2021-10-11,YAOKICHI Sen,愛知県,136.88353521569042,35.16971536546099,1
2021-10-09,カレーは飲み物。池袋東口店,東京都,139.714928829252,35.729285487450426,1
2021-10-07,スープカリー オーヤン 新札幌店,北海道,141.4708460284622,43.03781102286724,1
2021-10-05,ゴーゴーカレー 天理スタジアム,奈良県,135.8323833608927,34.60190320798693,1
2021-10-04,金沢カレー研究所 松江寺町店,島根県,133.05733751569574,35.46392044946567,1
2021-10-04,カレー&オリエンタルバル 桃の実,東京都,139.76185489804766,35.6958314707209,1
2021-10-03,スパイスカレースタンド輪心,神奈川県,139.6459891483488,35.44166534500584,1
2021-10-02,Tommy’s Curry（トミーズカレー）,神奈川県,139.53064761569362,35.35213535555666,1
2021-10-01,カレーしか勝たん 日明店,福岡県,130.85223571566914,33.891238233644174,1
2021-09-29,東京ハヤシライス 八重洲地下街店,東京都,139.7685738082859,35.680038923772365,1
2021-09-25,ルーとこめ,兵庫県,135.23407931524216,35.070223580341356,1
