ShopName,Date,Prefecture,longitude,latitude,Open,genres
サロン卵と私 イオンモール四條畷店,2021-11-05,大阪府,135.62810190431765,34.74569087030272,1, #オムレツ
神田たまごけん 池袋WACCA店,2021-06-09,東京都,139.71423012812465,35.73144051084478,1, #オムレツ
キッチン・オムレット,2021-03-21,富山県,137.17012266975865,36.66311170262429,1, #オムレツ
ポムの樹 オムライスの樹 アミュプラザ宮崎店,2020-11-20,宮崎県,131.43071032925604,31.914888298827556,1, #オムレツ
FARMERS CAFE PETIT OMELETTE イオンモール岡崎店,2020-11-17,愛知県,137.16235661582218,34.93758778037464,1, #オムレツ
ポムの樹 classic 池袋東武店,2020-06-21,東京都,139.71029290281848,35.73073215756321,1, #オムレツ
男のオムライス EGG BOMB 新橋店,2020-04-01,東京都,139.75655230581714,35.66634568019774,1, #オムレツ
サロン ウフ エ モア 東急プラザ渋谷店,2019-12-31,東京都,139.69966482924508,35.65776699876248,1, #オムレツ
ラケル テラスモール松戸店,2019-10-25,千葉県,139.93233765829123,35.817940995040686,1, #オムレツ
ポムの樹 イオンモール鶴見緑地店,2019-10-20,大阪府,135.56405631582774,34.7032729804337,1, #オムレツ
サロン卵と私 浜松遠鉄店,2019-10-18,静岡県,137.73258912925994,34.703775398777104,1, #オムレツ
3 Little Eggs ららぽーと沼津,2019-10-03,静岡県,138.83961772871865,35.11834296803343,1, #オムレツ
farmers egg kitchen イオンモール高岡店,2019-09-14,富山県,137.01180165829578,36.724731994991124,1, #オムレツ
OMS CAFE&DINING 沖縄店,2019-07-05,沖縄県,127.69794106642964,26.262191549410343,1, #オムレツ
おむらいす亭 山口イオン防府店,2019-06-07,山口県,131.5691505781635,34.052467518072234,1, #オムレツ
おむらいす亭 イオンモール神戸北店,2019-04-26,兵庫県,135.19279451583023,34.86105528039362,1, #オムレツ
オムライスラボLABO ららぽーと柏の葉店,2019-03-19,千葉県,139.94885991585096,35.89366878014533,1, #オムレツ
OMS.錦糸町パルコ店,2019-03-16,東京都,139.8136183158471,35.69649788019071,1, #オムレツ
ポムの樹EXPRESS さいたま新都心けやきひろば店,2019-02-28,埼玉県,139.6308158292614,35.89340599875909,1, #オムレツ
オムちゃん食堂,2019-02-20,大阪府,135.5111628292599,34.70762799877705,1, #オムレツ
たまごっ亭イオンモール大阪ドームシティ店,2019-02-20,大阪府,135.47570701582666,34.6704093804424,1, #オムレツ
たまごっ亭 アリオ西新井店,2018-12-01,東京都,139.78393608001505,35.77473668026973,1, #オムレツ
たまごっ亭 イオンモール大日店,2018-10-10,大阪府,135.580301,34.74871399999999,1, #オムレツ
サロン卵と私 ルクア大阪店,2018-08-17,大阪府,135.49370082128019,34.7028860252181,1, #オムレツ
œufs et Legumes ウ・エ・レギューム,2018-08-08,東京都,139.77626197828235,35.69937562368221,1, #オムレツ
おむらいす亭 イオンモールいわき小名浜店,2018-06-16,福島県,140.9022801599041,36.94685302152403,1, #オムレツ
神田たまごけん 神保町店,2018-04-13,東京都,139.7591583156805,35.69616198019095,1, #オムレツ
ポムの樹エクスプレスいちょう 東京大学本郷キャンパス中央食堂店,2018-04-02,東京都,139.76154554863564,35.71310561090479,1, #オムレツ
北極星,2018-04-01,大阪府,135.49390165690596,34.70311428043376,1, #オムレツ
デリッシュ・ウフ 越谷レイクタウン店,2018-03-16,埼玉県,139.82668077759848,35.882733594527295,1, #オムレツ
サロン卵と私 イオンモール座間店,2018-03-15,神奈川県,139.42236578007913,35.5003198475757,1, #オムレツ
神田たまごけん福岡天神店,2018-02-20,福岡県,130.39529791545755,33.59365254920382,1, #オムレツ
十六雑穀米オムライスと炭焼きハンバーグ専門店 おむらいす亭 イオンモール宮崎店,2017-10-28,宮崎県,131.45413637987374,31.92280298133027,1, #オムレツ
十六雑穀米オムライスと炭焼きハンバーグ専門店 おむらいす亭 岡山イオンモール倉敷店,2017-10-03,岡山県,133.74330537993404,34.60426308055491,1, #オムレツ
サロン卵と私 自由が丘店,2017-09-27,東京都,139.6675818799575,35.607335480308436,1, #オムレツ
ラケル 横浜ノースポートモール店,2017-09-13,神奈川県,139.57722541552425,35.55210678022458,1, #オムレツ
ラケル 府中ル・シーニュ店,2017-07-13,東京都,139.47735691536752,35.67188713809146,1, #オムレツ
淡路島カレーとオムライスのお店,2017-07-02,愛媛県,132.76820031534834,33.84016333632365,1, #オムレツ
ポムの樹 幸せのオムライス＆フレンチトースト アミュプラザ長崎店,2017-06-30,長崎県,129.86873751552423,32.75166628097968,1, #オムレツ
サロン卵と私 EQUIA志木店,2017-06-29,埼玉県,139.57303891555364,35.82256058016164,1, #オムレツ
farmers egg kitchen（ファーマーズエッグキッチン）,2017-06-28,石川県,136.4630105154253,36.39516969809305,1, #オムレツ
ラケル イーアス高尾店,2017-06-20,東京都,139.28678577988632,35.6429461397745,1, #オムレツ
おむらいす亭 イオンモール徳島店,2017-04-24,徳島県,134.57094437977577,34.061657780698326,1, #オムレツ
オムライス北極星 西宮ガーデンズ店,2017-04-24,兵庫県,135.35871937979275,34.744409980519144,1, #オムレツ
ポムの樹 宇都宮インターパークビレッジ店,2017-04-13,栃木県,139.90525197981805,36.493407092706086,1, #オムレツ
卵料理・ケーキ ダッキーダック 有楽町店,2017-03-18,東京都,139.76158917978395,35.67418738029291,1, #オムレツ
ポムの樹 コピス吉祥寺店,2017-03-09,東京都,139.57709351535155,35.70479098018887,1, #オムレツ
ポムズファーム 三宮オーパ２店,2017-02-23,兵庫県,135.1942498797589,34.69512408053181,1, #オムレツ
サロン卵と私 新さっぽろ店,2017-01-23,北海道,141.4702438799925,43.03765007924931,1, #オムレツ
おむらいす亭 熊本イオンモール熊本店,2016-12-23,熊本県,130.7410186793217,32.738511993348524,1, #オムレツ
ポムの樹 イオンモール長久手店,2016-12-09,愛知県,137.04836027938282,35.17340426535884,1, #オムレツ
3 Little Eggs ららぽーと湘南平塚,2016-10-04,神奈川県,139.35279681503974,35.336282056420295,1, #オムレツ
ポムの樹 町田モディ店,2016-06-23,東京都,139.44299767955536,35.54323534523225,1, #オムレツ
3 Little Eggs 町田東急ツインズ,2016-06-17,東京都,139.44588926817056,35.5424786480097,1, #オムレツ
ポムの樹セブンパークアリオ柏店,2016-04-25,千葉県,140.01084567955021,35.833918329287634,1, #オムレツ
おむらいす亭　愛媛イオンモール今治新都市店,2016-04-23,愛媛県,132.95987467950695,34.04435542568833,1, #オムレツ
ポムズグリル KITTE博多店,2016-04-20,福岡県,130.41723367949638,33.58891244954584,1, #オムレツ
創作オムライス ポムの樹Jr. ニトリモール枚方店,2016-04-19,大阪府,135.6953636795258,34.83863538342229,1, #オムレツ
オムライス専門店 シード,2016-04-15,大阪府,135.50402967965982,34.6797889805356,1, #オムレツ
ポムの樹 Jr.イオンモール堺鉄砲町店,2016-03-20,大阪府,135.47901367979418,34.59406798055779,1, #オムレツ
ポムの樹 幸せのオムライス＆フレンチトースト　ヨドバシ横浜店,2016-03-18,神奈川県,139.61834967981628,35.46769698034135,1, #オムレツ
ポムの樹 幸せのオムライス＆フレンチトースト　ヨドバシ横浜店,2016-03-15,神奈川県,135.18687567971938,34.696161980531386,1, #オムレツ
デリッシュ ウフ ららぽーと立川立飛店,2015-12-10,東京都,139.41571131535156,35.71317698018693,1, #オムレツ
 ヒルトップ レイチェル カフェ ららぽーと立川立飛店,2015-12-10,東京都,139.41571131535156,35.71317698018693,1, #オムレツ
ポムの樹 イオンモール常滑店,2015-12-04,愛知県,136.8243456797635,34.88191798048445,1, #オムレツ
おむらいす亭ゆめタウン久留米店,2015-11-25,福岡県,130.53622031518972,33.32177598081094,1, #オムレツ
家カフェおたま ららぽーと新三郷店,2015-11-21,埼玉県,139.86387731525775,35.85951098015311,1, #オムレツ
原宿オムライス アップルツリー,2015-11-19,千葉県,139.98847131516598,35.686138337310524,1, #オムレツ
ヒルトップ レイチェル カフェ ららぽーとTOKYO-BAY店,2015-11-19,千葉県,139.98847131516598,35.686138337310524,1, #オムレツ
元祖オムライス 北極星 ららぽーとEXPOCITY店,2015-11-19,大阪府,135.5332663151742,34.80519538512236,1, #オムレツ
ベビーフェイス プラネッツ 幸田店,2015-09-11,愛知県,137.163516,34.89007500000001,1, #オムレツ
ラケル 海老名ビナウォーク店,2015-06-01,神奈川県,139.39359299999998,35.451999,1, #オムレツ
ポムの樹 MIDORI長野店,2015-03-07,長野県,138.188938,36.64393799999999,1, #オムレツ
ポムの樹 マリエとやま店,2015-03-01,富山県,137.21397299999998,36.70052,1, #オムレツ
おむらいす亭 東京イオンモール多摩平の森店,2014-11-20,東京都,139.380751,35.661944,1, #オムレツ
ポムの樹 イオンモール札幌発寒店,2013-01-10,北海道,35.855005,139.799438,1, #オムレツ
ポムズカーレ　イオンモール成田店,2012-11-22,千葉県,35.795521,140.318692,1, #オムレツ
ラケル　シァル鶴見店,2012-11-01,神奈川県,35.507832,139.676775,1, #オムレツ
OMU COCO オムココ,2012-09-28,香川県,26.213965,127.679646,1, #オムレツ
ラケル　テラスモール湘南店,2011-11-12,神奈川県,35.337569,139.446115,1, #オムレツ
卵と私,2011-08-12,東京都,35.691638,139.704616,1, #オムレツ
RAKERUイオンモールりんくう泉南店リニューアル,2011-02-06,大阪府,34.691705,135.194258,1, #オムレツ
ポムズファーム アリオ亀有店,2021-09-25,東京都,139.8501787157009,35.76426303302025,0, #オムレツ
おむらいす亭 イオンモールいわき小名浜店,2021-09-19,福島県,140.9022801599041,36.94685302152403,0, #オムレツ
EggEgg キッチン ジョイナステラス 二俣川店,2021-09-10,神奈川県,139.52920471569573,35.462154549562015,0, #オムレツ
ポムの樹 マリエとやま店,2021-08-27,富山県,137.2117851157175,36.70052488100303,0, #オムレツ
ポムの樹Jr. イオンモール福津店,2021-06-03,none,130.4922030157991,33.75373033068821,0, #オムレツ
神田たまごけん イオン新浦安店,2021-02-22,千葉県,139.9120245158367,35.649068080201786,0, #オムレツ
RAKERUラケル イーアスつくば店,2021-01-13,茨城県,140.0817026158453,36.08619678010171,0, #オムレツ
コケコッコー共和国 たまごかけごはんの店マーム店,2021-01-08,三重県,136.52318372925916,34.5939571987789,0, #オムレツ
ポムの樹 スマーク伊勢崎店,2021-01-04,群馬県,139.2322909292453,36.339058098752886,0, #オムレツ
ポムの樹 飯田アップルロード店,2020-12-27,長野県,137.81442251583334,35.49883468023729,0, #オムレツ
ラケルららぽーと豊洲店,2020-10-20,東京都,139.79045291583648,35.65577148020023,0, #オムレツ
たまごっ亭イオンモール大日店,2020-10-08,大阪府,135.57950835828333,34.748853595105565,0, #オムレツ
ポムの樹 セカンドキッチン 長崎多良見店,2020-10-07,長崎県,129.97830132761004,32.82676248095708,0, #オムレツ
おむらいす亭 三重イオンモール東員店,2020-07-26,三重県,136.57873896338052,35.06134174583378,0, #オムレツ
おむらいす亭 名古屋イオンモール新端橋店,2020-07-04,愛知県,136.93249241582578,35.11456178033034,0, #オムレツ
ポムの樹Jr.イオンモール旭川駅前店,2020-05-30,北海道,142.35794099999998,43.764176,0, #オムレツ
神田たまごけん 河原町三条店,2020-04-26,京都府,135.76826682926034,35.009864998772265,0, #オムレツ
Cafe&Dining SHELF 札幌パルコ店,2020-04-18,北海道,141.35256966629896,43.05889276825468,0, #オムレツ
おむらいす亭 イオンモール高知店,2020-04-15,高知県,133.54017951580596,33.57608908073835,0, #オムレツ
エッグ＆チキン タケノヤ イオンモール筑紫野店,2020-04-08,福岡県,130.52631472778057,33.48108438076518,0, #オムレツ
ラケル大分パークプレイス店,2020-02-18,大分県,131.6564627922452,33.19618541343908,0, #オムレツ
ポムの樹 ららぽーと和泉店,2020-01-12,大阪府,135.44724085713983,34.43703248050305,0, #オムレツ
オムライスの店げんき,2019-11-24,神奈川県,139.329584336298,35.33857288216892,0, #オムレツ
ラケル マルイファミリー志木店,2019-08-15,埼玉県,139.57204231519822,35.823348329772166,0, #オムレツ
ドルチェ・リストランテ 盛岡イオン店,2019-07-14,岩手県,141.09647771588772,39.7115614794532,0, #オムレツ
ポムの樹 アルパーク広島店,2019-01-23,広島県,132.39239287975056,34.373570680615174,0, #オムレツ
ポムの樹 ららぽーと柏の葉店,2019-01-07,千葉県,139.94886528001769,35.89366878024262,0, #オムレツ
kitchen OMUHICO オムヒコ,2018-11-16,滋賀県,136.2677413710849,35.37980606725813,0, #オムレツ
京都オムライス ルフ,2018-11-05,京都府,135.7706300782927,35.00555746154342,0, #オムレツ
ポムの樹 イオン和田山店,2018-09-13,兵庫県,134.86255245781825,35.32940307041234,0, #オムレツ
RAKERU PAN 町田モディ店,2018-07-22,東京都,139.44299867978063,35.54326198032339,0, #オムレツ
ポムの樹Jr. イオンモール盛岡南店,2018-07-15,岩手県,141.12653947994409,39.683664007918914,0, #オムレツ
SaSaLa （ササラ）,2018-06-10,京都府,135.74057279170285,35.01036792417366,0, #オムレツ
オムの妖精 イオンモール広島府中店,2018-05-11,広島県,132.49695251565242,34.39498588051417,0, #オムレツ
ラケル ピオニウオーク東松山店,2018-05-10,埼玉県,139.40854811568744,36.005630180119915,0, #オムレツ
しゃぽーるーじゅ 御影クラッセ店,2018-04-29,兵庫県,135.25286741565924,34.71568638043063,0, #オムレツ
しゃぽーるーじゅ あべのルシアス店,2018-04-29,大阪府,135.50950022729708,34.64667895990977,0, #オムレツ
しゃぽーるーじゅ 福山イトーヨーカドー 1F店,2018-04-29,広島県,133.37769166634152,34.48672303364611,0, #オムレツ
ラケル ピオニウオーク東松山店,2018-04-21,埼玉県,139.40854811568744,36.005630180119844,0, #オムレツ
ラケル イオンモール名古屋茶屋店,2018-04-04,愛知県,136.82279111564122,35.10346996904691,0, #オムレツ
