Date,Prefecture,ShopName,Phone
2020-12-31,東京都,アゴラ カフェ 日本橋店,03-6262-6331
2020-12-29,東京都,ラ・オハナ 多摩境店,042-700-2208
2020-12-25,群馬県,CAFE noi 前橋朝倉町本店,027-226-6636
2020-12-24,滋賀県,Biwa collage ビワコラージュ,0749-53-2831
2020-12-24,福岡県,マックスカフェ 博多駅前店,092-419-2288
2020-12-24,東京都,マックスカフェ 立川駅前店,042-548-5222
2020-12-24,群馬県,PRONTO アクエル前橋店,027-212-2069
2020-12-24,静岡県,ぐりちねcafe,054-636-1010
2020-12-23,三重県,カメイサンのカフェ,0598-21-1608
2020-12-22,東京都,The Room COFFEE & BAR,
2020-12-22,東京都,PRESSO cafe&bar,
2020-12-22,鹿児島県,多国籍レストラン ありがとう,0995-56-8588
2020-12-21,大阪府,Drip-X-Cafe ヴィアイン大阪京橋店,06-6315-0100
2020-12-20,兵庫県,宇宙空間体験型コンセプトカフェ SORAYUME,078-945-7035
2020-12-20,大阪府,CHEESE RESTAURANT RICOTTA ららぽーと和泉,0725-51-3295
2020-12-20,大阪府,カフェチャオプレッソDue(ドゥエ),06-6654-4603
2020-12-20,神奈川県,ラ・オハナ 宮前平店,044-856-7251
2020-12-19,埼玉県,CAFFE & DINING SHACHI,
2020-12-17,沖縄県,CAFE & SOUND HOUSE LIFE SEED,098-989-7556
2020-12-16,東京都,unis （ユニ）,
2020-12-14,愛知県,CHEESE RESTAURANT RICOTTA イオンモール長久手,0561-64-7077
2020-12-14,愛媛県,CAFE DINING ＆ BAR CALICO,090-2893-1760
2020-12-12,東京都,ステージ併設型カフェ＆バー idoRe: 渋谷店,070-4371-8063
2020-12-12,東京都,Restaurant L’ARGENT (レストラン ラルジャン),03-6280-6234
2020-12-12,群馬県,the RESTAURANT（ザ・レストラン）,027-231-2020
2020-12-11,京都府,no-mu cafe,
2020-12-09,東京都,cafe&bar +PLUS C,
2020-12-06,東京都,Cafe Chiffon Cake Lab,
2020-12-06,福島県,小皿レストラン グリルすずらん,024-563-3120
2020-12-05,東京都,Hawaiian Pancake＆Cafe Merengue 光が丘IMA店,03-6909-9511
2020-12-05,岡山県,CHEESE RESTAURANT RICOTTA イオンモール岡山,086-803-6255
2020-12-05,山口県,岩国ボードゲームカフェ AREA51,070-5526-1438
2020-12-05,東京都,Leberment吉祥寺店,0422-77-3001
2020-12-04,広島県,西条美食cafe Motto Kamo (モットカモ）,082-422-1313
2020-12-04,愛知県,cafe rob イオンモール名古屋茶屋店,052-212-7343
2020-12-04,愛知県,プラスシュガー（+Sugar）,070-1428-8961
2020-12-03,兵庫県,Mother Moon Cafe 姫路店,079-288-3577
2020-12-03,千葉県,mr.kanso×ITSUMO,043-310-7970
2020-12-02,東京都,Café＆Meal_MUJI東京有明,
2020-12-01,福岡県,シーシャカフェ&バー ペルシア 福岡店,080-6401-8197
2020-12-01,愛知県,カフェダイニング ZEN,052-825-9777
2020-11-30,兵庫県,カフェNecco,
2020-11-30,大阪府,チーズと生はちみつ BeNe あべのキューズモール,06-6585-7588
2020-11-30,東京都,PRONTOプロント 品川高輪店,03-5475-6641
2020-11-29,東京都,TAILORED CAFE テイラードカフェ 六本木,03-6447-0044
2020-11-29,東京都,エリック・ローズ(ERIC ROSE),03-6384-5666
2020-11-29,石川県,登るや,076-262-2468
2020-11-28,岡山県,淡路キッチン とりぶ,086-230-2210
2020-11-27,京都府,Cotelette×卵 君と、しろみ,075-644-6412
2020-11-27,千葉県,猫カフェ 猫喫茶 空陸家 アクロスモール新鎌ケ谷店,047-402-2787
2020-11-26,兵庫県,CHEESE RESTAURANT RICOTTA ららぽーと甲子園,0798-48-6370
2020-11-26,大阪府,CHEESE RESTAURANT RICOTTA 阪急三番街,06-6292-7140
2020-11-24,東京都,Hicity square café/bar エイチ・アイ・シティ スクエア カフェバー,
2020-11-23,沖縄県,Clay Coffee & Gallery,
2020-11-22,大分県,Pebblou cafe,097-578-8558
2020-11-21,福岡県,Baluko Laundry Place 福岡多々良,092-671-6008
2020-11-21,滋賀県,I am Jackie.,
2020-11-21,岐阜県,はしもとパーラー,
2020-11-20,東京都,CBD(coffee)麻布十番店,03-6887-0302
2020-11-20,千葉県,猫カフェMOCHA イオンモール幕張新都心店,043-307-2555
2020-11-19,東京都,Minette ミネット,
2020-11-19,東京都,GUNDAM Café HANEDA Airport Satellite,070-3191-4785
2020-11-19,兵庫県,LE MACCHAN （ルマッシャン）,050-8881-0002
2020-11-17,愛知県,cafebar Wits,050-5327-5686
2020-11-17,群馬県,MOO CAFE,027-288-0348
2020-11-17,山梨県,Le Koppi（ル コピ）,080-5958-3444
2020-11-16,東京都,Café & Bakery GGCo. 神谷町,03-6381-5309
2020-11-16,北海道,タピオカ＆リゾート 空海 手稲店,011-600-1255
2020-11-15,北海道,レストランカラオケ エルカーサ,011-520-2770
2020-11-14,東京都,秋葉原和堂 (あきはばらなごみどう),03-6284-4369
2020-11-14,兵庫県,ベトナムカフェ&雑貨dethuong(イエトゥーン),080-4399-3088
2020-11-13,栃木県,FARMDELI 南宇都宮店,028-612-8998
2020-11-12,宮崎県,猫カフェMOCHA（モカ）宮崎橘通店,0985-72-8290
2020-11-11,沖縄県,花商 那覇金城店,098-859-7033
2020-11-08,東京都,カフェねねね,03-5964-5477
2020-11-08,岡山県,omoや545,050-3740-8545
2020-11-07,静岡県,Diners Restaurant bar & Cafe,0545-30-9151
2020-11-06,神奈川県,KOSUGI CAFE nappa69,044-281-0769
2020-11-06,東京都,B TO GO,03-6659-2714
2020-11-06,東京都,ムッチーズ カフェ西荻窪店,03-5364-9190
2020-11-05,東京都,S（エス）,03-6447-7101
2020-11-05,東京都,Mr.FARMER アトレ恵比寿店,03-5475-8431
2020-11-04,東京都,BAKERY&CAFE VOIE LACTEE,03-3711-1610
2020-11-04,東京都,THE UPPER,050-1743-1200
2020-11-04,東京都,Darts Cafe UNO 三軒茶屋,03-6413-8224
2020-11-03,東京都,サテンドール Jazz Restaurant Satin Doll,03-3401-3080
2020-11-03,神奈川県,Baluko Laundry Place たまプラーザ,03-6630-2632
2020-11-03,神奈川県,ノイロ.2nddining,042-711-7377
2020-11-03,東京都,カフェバー&ダイニング CANTINA立川店,042-533-6930
2020-11-02,三重県,ASAFUKU CAFÉ,0596-64-8111
2020-11-02,東京都,FLUX CAFE 田町,03-6435-1621
2020-11-01,香川県,Cafe MoMo,
2020-11-01,広島県,crepe cafe gufo,084-999-5333
2020-11-01,福岡県,カフェアンドダイニング ナチュラリスト,092-791-2270
2020-11-01,東京都,わんすたCafe＆酒場,0422-24-9833
2020-11-01,滋賀県,Plume（プリュム）,0748-69-7552
2020-11-01,愛知県,Cafe Rob 刈谷店,
2020-11-01,東京都,UEHARA KITCHEN （ウエハラ キッチン）,03-6804-9390
2020-11-01,東京都,いちご新聞45th Anniversary CAFE,03-6273-0255
2020-10-31,東京都,定額制セルフエステ glitter / cafe glitter,
2020-10-31,東京都,ライブアイドルカフェ,03-5928-4420
2020-10-31,岩手県,保護猫カフェ もどき,019-601-7775
2020-10-31,埼玉県,氷川参道カフェ いやしろ,048-715-0623
2020-10-31,福岡県,MASTARS CAFE KOKURA,093-551-1144
2020-10-25,東京都,SALON 1830(サロン イチハチサンゼロ）,0120-70-1830
2020-10-24,東京都,さくら座,
2020-10-23,兵庫県,Restaurant Senka（レストラン センカ）,078-241-0022
2020-10-23,長野県,OTO Cafe,026-219-2346
2020-10-22,鹿児島県,Black Smith,080-5209-4527
2020-10-20,東京都,コミュニティーカフェ はぐくむ 湖畔,070-6575-3679
2020-10-20,福岡県,NEAR by otonari (ニアーバイオトナリ),092-406-5847
2020-10-20,埼玉県,tablier(タブリエ),048-812-8225
2020-10-19,福島県,さくらかふゑ三春 KAMINUMAYA,0247-61-4320
2020-10-16,神奈川県,STORY STORY YOKOHAMA,045-225-8391
2020-10-16,埼玉県,Femy_ フェミー,042-975-7771
2020-10-16,東京都,CAFFE SICILIA （カフェ シチリア）,03-3520-9761
2020-10-16,東京都,カフェ ラ・ボエム 浜松町,03-6402-3281
2020-10-15,群馬県,カフェ Kanowa / Glacier Boulangerie Kyou,027-234-9147
2020-10-15,山口県,うどんかふぇ 550,090-8240-9720
2020-10-14,東京都,WHAT CAFE（ワット カフェ）,
2020-10-14,兵庫県,諏訪山カフェ+,
2020-10-14,神奈川県,ひつじのショーン Farm Cafe Stand,080-7644-6727
2020-10-13,福島県,西口キッチン ひつじのはね,024-572-7716
2020-10-13,北海道,KoDoNa cafe,011-500-2351
2020-10-13,長野県,&me,0266-55-8862
2020-10-12,千葉県,Remo Cafe（リモカフェ）おおたかの森店,047-128-7939
2020-10-12,千葉県,Remo Cafe（リモカフェ）本八幡店,047-314-8765
2020-10-11,東京都,SHINJUKU BOX cafe&space ルミネエスト新宿店,03-6273-0688
2020-10-10,兵庫県,Atelier Trois （アトリエトロワ）,078-332-3303
2020-10-10,神奈川県,DRONE LOUNGE JUPITER ドローンラウンジジュピター,042-707-9900
2020-10-10,大分県,自然派カフェレスト 鈴ご,0978-25-9832
2020-10-09,愛知県,Lily Warlock (リリー ウォーロック),
2020-10-08,愛知県,meal chiffon & sweets Damonde,052-211-9333
2020-10-07,大阪府,Herb kitchen（ハーブキッチン）,06-6732-9212
2020-10-06,東京都,八百屋×カフェ 和合堂,03-6435-3880
2020-10-06,東京都,Café Argentina（カフェ アルヘンティーナ）,
2020-10-06,愛知県,OATISANS CAFE（オーティザンカフェ）,052-778-8080
2020-10-04,愛知県,Maison-du-fromage ～チーズのお家～,
2020-10-03,北海道,そばカフェ,090-8706-8659
2020-10-02,愛知県,LOUKUMA House,080-6968-0652
2020-10-02,大分県,Cafe bar Licht,0973-25-0010
2020-10-02,東京都,!DEA CAFE （アイデアカフェ）,03-6909-1742
2020-09-29,東京都,THE KOME,03-5980-7889
2020-09-29,兵庫県,Pies & Potera,
2020-09-29,京都府,THE MUROMACHI BAKERY,075-746-3850
2020-09-27,千葉県,東京ディズニーランド 美女と野獣エリア,0570-00-8632
2020-09-27,大阪府,ローズガーデンカフェ 道頓堀,06-6212-3030
2020-09-25,長崎県,LEO′N HEART(レオンハート),090-2963-6404
2020-09-22,京都府,loose kyoto ルース キョウト,
2020-09-21,東京都,Iittala Omotesando Store&Café,
2020-09-21,兵庫県,SurFree Kobe,078-797-4997
2020-09-20,大阪府,N´cafe,072-395-7138
2020-09-19,東京都,Restaurant Solfège (レストラン ソルフェージュ)　,03-5726-8320
2020-09-19,神奈川県,Chalk Trip Cafe（チョークトリップカフェ）,046-259-6767
2020-09-18,埼玉県,テラスバ本庄,0495-37-3616
2020-09-18,神奈川県,BEACH⇔PARK LIVING ビーチパークリビング,080-7019-0229
