Date,ShopName,longitude,latitude
2021-11-03,カブトヤマ,38.424966,141.27981
2021-11-01,Dining&cafe 39+,38.424966,141.27981
2021-11-01,GUNDAM Café ガンダムカフェ 全店,38.424966,141.27981
2021-10-30,ラ・メール,38.424966,141.27981
2021-10-27,カフェレスト 海岸通り,38.424966,141.27981
2021-10-27,BROOKLYN ROASTING COMPANY 晴海トリトン店,38.424966,141.27981
2021-10-26,サンマルクカフェ 船橋北口店,38.424966,141.27981
2021-10-24,RENOIR（ルノアール）,38.424966,141.27981
2021-10-23,gram 広島店,38.424966,141.27981
2021-10-23,ベーカリーレストランサンマルク八尾山本店,38.424966,141.27981
2021-10-15,CAFE TONGLLIANO小牧店,38.424966,141.27981
2021-10-11,Cafe+Bar23,38.424966,141.27981
2021-10-08,ELOISE’s Cafe横浜ハンマーヘッド店,38.424966,141.27981
2021-10-06,フレッズカフェ ステーション川西能勢口店,38.424966,141.27981
2021-10-06,SOUTHERLY サウザリー,38.424966,141.27981
2021-10-05,an.loca ぼくとコーヒーとお酒,38.424966,141.27981
2021-10-05,若草 hutte&co-ba MIYAZAKI,38.424966,141.27981
2021-10-04,ガレージカフェ TopGun,38.424966,141.27981
2021-09-29,ダッキーダックカフェ 町田ジョルナ店,38.424966,141.27981
2021-09-28,Café＆Meal_MUJI 日比谷,38.424966,141.27981
2021-09-24,PRONTO プロント マーレ武蔵浦和店,38.424966,141.27981
2021-09-19,マンゴツリーキッチンekie広島,38.424966,141.27981
2021-09-19,コラソンカフェ 大宮店,38.424966,141.27981
2021-09-17,Kürtős Kalács クルトシュカラーチ,38.424966,141.27981
2021-09-17,スパイスマジック渋谷店,38.424966,141.27981
2021-09-13,神戸屋レストラン 西宮店,38.424966,141.27981
2021-08-29,カフェレストラン インク・スポット,38.424966,141.27981
2021-08-24,リストランテ・ジン,38.424966,141.27981
2021-08-22,PRONTO プロント 八柱駅店,38.424966,141.27981
2021-08-15,ハンプティーダンプティー京都北大路ビブレ店,38.424966,141.27981
2021-08-13,スクウェア・エニックス カフェ大阪,38.424966,141.27981
2021-08-11,CAFE FREDY 銀座店,38.424966,141.27981
2021-08-10,PRONTO（プロント）小倉魚町店,38.424966,141.27981
2021-08-10,熊牛68珈琲,38.424966,141.27981
2021-08-10,GRAND COLOR DAYS（グランドカラーデイズ）,38.424966,141.27981
2021-08-05,ボードゲームカフェ＆バーadhoc,38.424966,141.27981
2021-07-24,グッドスマイル×アニメイトカフェ秋葉原,38.424966,141.27981
2021-07-22,ISHIYA CAFÉ 新千歳空港店,38.424966,141.27981
2021-07-19,くまモンビレッジ カフェスペース,38.424966,141.27981
2021-07-18,ライダーズカフェあわじ,38.424966,141.27981
2021-07-12,六鹿day,38.424966,141.27981
2021-06-29,KAVE CAFE 大阪道頓堀店,38.424966,141.27981
2021-06-27,ハンズカフェピオレ明石店,38.424966,141.27981
2021-06-27,タニタカフェ有楽町店,38.424966,141.27981
2021-06-13,sisters池袋,38.424966,141.27981
2021-06-06,サンマルクカフェ 京急弘明寺駅前店,38.424966,141.27981
2021-06-02,砂丘フレンド,38.424966,141.27981
2021-06-02,サンマルクカフェ 神田西口店,38.424966,141.27981
2021-05-26,不二家レストラン南塚口店,38.424966,141.27981
2021-05-26,不二家レストラン 栃木店,38.424966,141.27981
2021-05-26,不二家レストラン 千葉幕張店,38.424966,141.27981
2021-05-26,不二家レストラン 北里病院前店,38.424966,141.27981
2021-05-22,モンスーンカフェ たまプラーザ,38.424966,141.27981
2021-05-21,アニON STATION AKIHABARA本店,38.424966,141.27981
2021-05-17,PRONTOプロント 新宿小田急エース店,38.424966,141.27981
2021-05-10,カフェド武 原宿店,38.424966,141.27981
2021-05-08,SWEET CAFE ICITY 21,38.424966,141.27981
2021-05-07,UCCカフェプラザ COM高松店,38.424966,141.27981
2021-05-06,B★STAR CAFE(Bスターカフェ) by LOOK,38.424966,141.27981
2021-05-05,サンマルクカフェ 神奈川元住吉店,38.424966,141.27981
2021-04-29,cafe Cuiller,38.424966,141.27981
2021-04-29,サンマルクカフェ浜松町貿易センタービル店,38.424966,141.27981
