Date,ShopName,Prefecture,longitude,latitude,Open
2021-11-04,名代 宇奈とと 四条河原町店,京都府,135.76802728152623,35.00137705544553,1
2021-11-04,うな泰 錦店,愛知県,136.90145854578213,35.1692864476607,1
2021-11-04,オオギヤと宇奈とと 姫路大津店,兵庫県,134.60939921568453,34.80742598500159,1
2021-11-04,オオギヤと宇奈とと 四日市日永店,三重県,136.60318008459157,34.944877997064616,1
2021-11-04,オオギヤと宇奈とと 中川八熊通り店,愛知県,136.86200621569012,35.14039036704911,1
2021-11-04,オオギヤと宇奈とと 新杉田駅前店,神奈川県,139.6179733156943,35.385464953742364,1
2021-11-04,オオギヤと宇奈とと 東村山店,東京都,139.46622736342437,35.757862921140884,1
2021-11-04,オオギヤと宇奈とと 西葛西駅前店,東京都,139.86052612582162,35.66440528759808,1
2021-11-04,オオギヤと宇奈とと 南越谷駅前店,埼玉県,139.7912513292361,35.876010785439234,1
2021-11-04,オオギヤと宇奈とと 仙台国分町店,宮城県,140.86974744279965,38.26727470221884,1
2021-10-26,つきじ宮川本廛 京王クラウン街笹塚店,東京都,139.66672304532216,35.67388446048952,1
2021-10-26,中庄 本店,愛知県,136.84283201569195,35.24511456137251,1
2021-10-23,うなぎの中庄 マルイファミリー溝口店,神奈川県,139.61062861569812,35.59904224208164,1
2021-10-19,鰻はる,愛知県,137.16326187933964,35.10221488799194,1
2021-10-15,うなぎの中庄 マルイ溝口店,神奈川県,139.61062861569812,35.59904224208164,1
2021-10-14,うなぎ処 うな富 池田川西店,大阪府,135.42316361568496,34.840388683230756,1
2021-10-14,うなぎが安くて旨いだけ 鰻やす 静岡駅前,静岡県,138.3833881156872,34.97298137609346,1
2021-10-07,うな天,東京都,139.57993791569987,35.70402133632832,1
2021-10-03,うなぎ旬彩 かとう,三重県,136.56232601568888,35.06082537135219,1
2021-09-15,名代 宇奈とと 岩国店,山口県,132.22199281567367,34.17096501891068,1
2021-09-15,鰻やす 岐阜駅前,岐阜県,136.75561231569483,35.41224625228339,1
2021-09-15,鰻やす 栄3丁目,愛知県,136.90178541569048,35.16645986563719,1
2021-09-14,名代 宇奈とと 東生駒店,奈良県,135.70375121568284,34.708603690301636,1
2021-09-14,名代 宇奈とと 静岡千代田店,静岡県,138.39680541568725,34.99143867509809,1
2021-09-14,名代 宇奈とと 郡山横塚店,福島県,140.39454001573037,37.400142641396734,1
2021-09-13,うなぎが安くて旨いだけ 鰻やす 名駅4丁目,愛知県,136.88602951569058,35.17166306535539,1
2021-09-12,名代 宇奈とと 姫路店,兵庫県,134.6913192424467,34.82851763327677,1
2021-08-25,赤坂邸,東京都,139.7350677429856,35.67498914539122,1
2021-08-18,ハレ時々うなぎ,東京都,139.74406421569975,35.70134483647524,1
2021-08-16,うなたん郡山店,福島県,140.38106552761633,37.39919084145105,1
2021-08-03,名代 宇奈とと 駒込店,東京都,139.75014431864136,35.73616039155595,1
2021-07-24,炭焼うな富士 白壁別邸,愛知県,136.92126440554853,35.18510916462693,1
2021-07-21,炭焼きうなぎ・かしわ 登河 池下店,愛知県,136.9438006055482,35.17016136543665,1
2021-07-20,鰻 ななつぼし,大分県,131.60484900551603,33.237538767667026,1
2021-07-18,うなぎ四代目菊川 VISON多気店,三重県,136.51421531567846,34.46075740353777,1
2021-07-17,名代 宇奈とと 京成船橋店（伝説のすた丼屋 京成船橋店）,千葉県,139.984908170816,35.69987679882433,1
2021-07-17,うなぎの中庄 イオンモール白山店,石川県,136.58227964458027,36.54356387936845,1
2021-07-14,にょろ助 仙台国分町店,宮城県,140.8698489292388,38.26367295172374,1
2021-07-09,うな政 富士宮店,静岡県,138.63604911289164,35.2101991632667,1
2021-07-05,名代 宇奈とと 市川店,千葉県,139.9093190510123,35.72871566756003,1
2021-07-02,名代 宇奈とと 糀谷店,東京都,139.7291782292518,35.552400389865525,1
2021-07-01,うなぎ四代目菊川 ミッドランドスクエア名古屋本店,愛知県,136.88413053572063,35.16992473763186,1
2021-07-01,うなぎ処 桶松,兵庫県,134.7985857037316,34.77236074295779,1
2021-07-01,三島和食 ひいらぎ,静岡県,138.9181308292513,35.12015309572378,1
2021-06-29,名代 宇奈とと ファボーレ富山店,富山県,137.17093012760293,36.662646083129566,1
2021-06-24,鰻川(うなせん) イオンモール春日部店,埼玉県,139.78822582759108,35.988013020692314,1
2021-06-20,名代 宇奈とと 笹塚店,東京都,139.6670774055569,35.673937937978394,1
2021-06-20,鰻HASHIMOTO,高知県,133.54099782924968,33.55897141636227,1
2021-06-08,江戸前うなぎ かわ祥 阪急西宮ガーデンズ店,兵庫県,135.35899111288376,34.743828288413916,1
2021-06-01,名代 宇奈とと 川崎店,神奈川県,139.69845856528855,35.528119883262804,1
2021-05-31,うなぎ亭 一座 四日市店,三重県,136.6073049303466,34.98535058537493,1
2021-05-16,炭火焼き鰻 直来,愛知県,136.853963066561,35.229301467156546,1
2021-05-16,にょろ助 金沢片町店,石川県,136.64982880564085,36.56031647999857,1
2021-05-11,名代 宇奈とと イオン品川シーサイド店,東京都,139.748227713005,35.61050860017212,1
2021-05-09,うなぎや松おか,愛媛県,132.76391000558655,33.83513178066556,1
2021-04-29,うな串焼鳥う福 大井町店,東京都,139.73586300562152,35.60759378021159,1
2021-04-25,ひつまぶし 岡ひろ イオンドーム前店,愛知県,136.94352602982133,35.18747583450113,1
2021-04-23,ひつまぶし 一葉,愛知県,-1,-1,1
2021-04-23,うな源 近鉄橿原レストラン街店,奈良県,135.7948208432814,34.513473253771785,1
2021-04-19,うなぎ処 昊（そら）,京都府,135.7650296599018,35.00465914608755,1
2021-04-18,うな丼 うなふく,愛知県,136.8909486298128,35.12254109312114,1
2021-04-14,本格炭火焼うなぎ えん,滋賀県,135.9017887379824,35.09718821269561,1
2021-04-09,うなぎ小椋,愛媛県,132.71486597554295,33.78940879859012,1
2021-04-06,うな伊 松阪本店,三重県,136.517675269039,34.60760533112024,1
2021-04-01,うなじゅう家,福岡県,130.33837190558134,33.568176680740414,1
2021-03-31,炭焼 うな富士 天白別邸,愛知県,136.96915150561145,35.11642008032982,1
2021-03-23,うなぎ料亭 山重 夙川店,兵庫県,135.3254169056042,34.74090788042433,1
