2021-10-29,兵庫県,島たこやき MIKE トゥースマート店,078-777-4091
2021-10-27,東京都,たこやき あずまや 国領店,042-497-0001
2021-10-16,愛媛県,たこ焼き てつ,070-5513-5216
2021-10-13,兵庫県,曾根崎鉄板食堂はなたれ ミント神戸店,078-803-8009
2021-10-08,埼玉県,粉もん屋 八 新所沢駅前店,042-937-3886
2021-10-06,千葉県,築地銀だこ 柏の葉公園ドライブイン店,04-7196-6226
2021-10-01,東京都,広島お好み焼き ホプキンス,050-5828-6784
2021-10-01,兵庫県,鶴橋粉舗てこや 深江駅前店,078-940-1151
2021-09-23,神奈川県,築地銀だこ 下鶴間ドライブイン店,046-244-3558
2021-08-28,宮城県,きいろいタコ,022-344-9266
2021-08-13,千葉県,くれおーる イオン幕張新都心店,043-307-7315
2021-08-10,千葉県,築地銀だこ 天台ドライブイン店,043-307-1699
2021-08-03,愛知県,米乃家 LAND,0586-77-6615
2021-08-02,愛媛県,広島お好み焼き 鉄板焼き 大地の母 伊予店,089-994-5399
2021-07-21, 福岡県,たこかつ,093-533-0544
2021-07-19,石川県,築地銀だこ イオンモール白山店,076-220-6836
2021-07-19,石川県,千房 イオンモール白山店,076-259-6553
2021-07-16,大阪府,鶴橋粉舗てこや 東部市場前駅前店,06-6719-3366
2021-07-16,大阪府,鶴橋粉舗てこや 難波千日前店,06-6636-1133
2021-07-06,宮崎県,お好みバル Ricchan,0985-20-1788
2021-07-04,東京都,鉄板お好み焼き処 黒。,03-5848-3772
2021-07-04,京都,モッさんのべた焼 大宮店,080-5353-7792
2021-06-29,高知県,軽食酒場 鳥あえず…びーる,090-20704878
2021-06-22, 愛知県,もんじゃ 鉄板 まきびし,0566-22-0911
2021-06-15,茨城県,千房 イオンモール水戸内原支店,029-350-8580
2021-06-12,岩手県,笑う門には福来たる,
2021-06-10, 兵庫県,昭平,080-8528-0717
2021-06-10,千葉県,お好み焼き もんじゃ 鉄板焼 さっとん,050-5815-4940
2021-06-09,神奈川県,お好み焼き 鶴橋風月 本厚木店　,046-240-1755
2021-05-30,神奈川県,築地銀だこ ドライブイン平塚河内店,0463-79-5705
2021-05-20,宮城県,ゑびす屋本舗 船岡店,0224-51-8216
2021-05-08,愛知県,新萬丸亭 中川店,052-363-3353
2021-05-06,大阪府,としのぶさん家の粉 古川橋店,—
2021-04-27,広島県,お好み焼・鉄板焼ちんちくりん緑井店,082-554-1604
2021-04-26,三重県,千房 イオンモール鈴鹿支店,059-373-6811
2021-04-26,千葉県,築地銀だこ 船橋ドライブイン店,047-404-6799
2021-04-24,岐阜県,TAKOYAKI BROTHERZ,070-8999-3519
2021-04-20,宮城県,達磨,070-8475-1488
2021-04-20,福岡県,電光石火,092-409-3277
2021-04-20,大阪府,たこ家道頓堀くくる 心斎橋店,06-6556-7669
2021-04-09,東京都,あずまや 千歳船橋店,03-5799-6977
2021-04-09,三重県,お好み焼・鉄板焼・もんじゃ焼き 加屋 菰野イオンタウン店,059-394-5288
2021-04-04,兵庫県,お好み・もんじゃ 清十郎 阪急西宮ガーデンズ店,0798-31-7333
2021-04-01,東京都,お好み焼みっちゃん総本店 東京ソラマチ店,03-5619-5438
2021-03-31,群馬県,築地銀だこ伊勢崎ドライブスルー店,080-3495-9464
2021-03-23,東京都,電光石火 渋谷センター街店,03-6427-8945
2021-03-17,広島県,たこ焼きtoビール だるま,084-999-6577
2021-03-16,鳥取県,まる福,0857-21-7355
2021-03-14,愛知県,とんタコ刈谷店,
2021-03-08,愛知県,お好み・鉄板・もんじゃ焼き えふ,0561-52-7776
2021-03-08,大阪府,来夢羅 新深江店（きむら）,06-6224-3447
2021-03-05,兵庫県,お好み焼き 辰ちゃん食堂,0798-47-1477
2021-03-03,広島県,りえもん家,084-999-7005
2021-02-25,千葉県,築地銀だこ 市川店,047-318-3500
2021-02-19,奈良県,粉もん屋八 高の原店,0742-71-8016
2021-02-17,北海道,蛸屋本店 さっぽろ店,011-826-4429
2021-02-14,兵庫県,明石焼き居酒屋 たこいけ,078-585-7350
2021-02-05,千葉県,いってん 市川店,—
2021-02-01,岡山県,お好み焼き 鉄板焼き 凛蘭（りらん）,086-259-5099
2021-01-15,兵庫県,たこ壺横丁イオンモール明石店,078-995-8488
2021-01-06,東京都,元祖月島もんじゃ もじや 月島店,03-5859-5875
2020-12-25,東京都,月島 もんじゃ お好み焼 誠,03-5859-0044
2020-12-23,山口県,たこ焼き＆唐揚げ食堂 永島屋 長府店,—
2020-12-22,神奈川県,築地銀だこ 相模原中央店,042‐707‐4484
2020-12-20,東京都,KOBOREYA 月島,03-6555-5210
2020-12-15,東京都,月島もんじゃ もんろう,03-3520-8890
2020-12-12,沖縄県,沖縄イイダコ屋 さわふじマルシェ店,090-1942-6033
2020-12-09,静岡県,ぽっぽ屋,053-420-7055
2020-12-09,兵庫県,明石玉子焼 梅菊（うめきく）,078-995-9433
2020-12-08,京都,テッペン。,075-644-4563
2020-12-05,三重県,千客万来まねきだこ 日永カヨー店,059-340-8622
2020-12-04,福岡県,広島お好み焼・鉄板焼Labo とものや TOMONOYA,092-407-8955
2020-12-04,茨城県,ばくだん焼本舗 水戸オーパ店,080-4144-1338
2020-11-28,東京都,月島もんじゃ はる 錦糸町北口店,03-6658-4125
2020-11-26,静岡県,ギンダコハイボール横丁 静岡両替町店,054-291-7080
2020-11-25,東京都,築地銀だこ酒場 ミーツ国分寺店,042-316-8555
2020-11-25,愛知県,電光石火 名古屋駅店,052-414-5851
2020-11-19,奈良県,お好み焼・鉄板焼 きん太 香芝五位堂店,0745-71-9888
2020-11-06,熊本県,築地銀だこ ハイボール酒場 下通店,096-325-8188
2020-11-04,千葉県,築地銀だこマルハン千葉北ドライブスルー店,080-7364-9692
2020-11-04,東京都,鉄板商会（テッパンショウカイ）,090-2903-4545　代表　横手
2020-11-03,岡山県,笑たこ イオン倉敷店,086-436-6323
2020-10-31, 鹿児島県,千房 天文館店,099-248-8525
2020-10-29,北海道,築地銀だこ 三井アウトレットパーク札幌北広島店,011-377-5077
2020-10-28,大阪府,鶴橋風月 野田阪神ウイステ店,06-6486-9968
2020-10-24,大阪府,たこやき はなれ,070-8442-9415
2020-10-20,広島県,電光石火 ekie広島店,082-568-1751
2020-10-15,山口県,たこ焼き はかたこ ゆめシティ新下関店,083-255-1000
2020-10-10,北海道,かうまる,011-790-8139
2020-10-03,大阪府,粉もん くりゅう,080-8360-3881
2020-09-29,大阪府,島たこやき MIKE しまたこやき みけ,06-4256-6632
2020-09-20, 愛知県,カリカリ博士 太田川店,—
2020-09-17,大阪府,じゃんぼ総本店 千日前店,06-6710-9333
2020-09-16,東京都,築地銀だこ 立川ドライブスルー店,080-3494-4353
2020-09-15,北海道,広島風お好み焼き まろ吉,011-299-9282
2020-09-13,東京都,名代秘伝の味 大阪じゅげむ 高円寺店,050-5451-6363
2020-09-10,大阪府,お好み焼き 銭形,06-6925-1139
2020-08-16,大阪府,リエージュ（オズ・シーサイドボックス）,080-8516-9387
2020-08-02,兵庫県,明石焼 かいれんまる,090-3844-9021
2020-07-29,茨城県,ポッポ 古河店,0280-31-7771
2020-07-04,愛知県,お好み焼き がっきー(テイクアウト専門店),0566-57-1900
2020-06-28,神奈川県,築地銀だこハイボール酒場 桜木町クロスゲート店,045-228-9959
2020-06-27,愛知県,たこハイ 米乃家,052-265-6628
2020-06-04,北海道,お好み焼き まっか 琴似店,011-688-6377
2020-05-29, 福岡県,お好み焼 牛すじ葱丸,092-894-1105
2020-05-14,宮城県,タコとハイボール 仙台一番町店,080-4794-6503
2020-04-24,兵庫県,TAKOダイニング井の万,080-5701-0826
2020-04-22,栃木県,タコとハイボール宇都宮店,028-680-5585
2020-04-14,大阪府,お好み焼・鉄板焼 きん太 岸和田店,0724-47-8200
2020-04-10,大阪府,ジャンボ酒場 塚本駅前店,06-4806-0022
2020-04-09,茨城県,大阪大衆鉄板焼き酒場 てっちゃん,0298-75-8859
2020-04-01,広島県,ちんちくりん 宮島口店,0829-30-8737
2020-04-01,大阪府,頂,06-6452-5678
2020-04-01,北海道,はる商店,011-200-9461
2020-04-01,東京都,千房 ADVANCE 広尾店,03-6408-5230
2020-03-28,大阪府,千客万来まねきだこ イオンスタイル海老江店,06-6131-6338
2020-03-28,大阪府,鶴橋粉舗 てこや阿倍野駅前店,06-6615-9900
2020-03-20,千葉県,京風たこ焼き たこ坊 津田沼,070-3162-7083
2020-03-20,北海道,かつたこ,050-5373-3550
2020-03-18,大阪府,お好み焼・鉄板焼 きん太 和泉府中店,0725-51-7016
2020-03-15,大阪府,じゅうじゅう屋 天三食堂,06-4800-0077
2020-03-01,秋田県,もんじゃ焼きお好み焼き鉄板焼き じゃっちゃが,018-827-4471
2020-02-29,東京都,えびすだこ仙川西友店,03-3307-1139
2020-02-25,山梨県,焼きたて屋 ビバモール甲斐敷島店,070-2643-6896
2020-02-19,大阪府,狸狸亭 新鶴橋店,06-6777-7783
2020-02-15,大阪府,ねぎ焼 やまもと 梅田エスト店,06-6131-0118
2020-02-13,神奈川県,大阪こなもん酒場 たこやき番長 関内店,045-211-4445
2020-02-07,神奈川県,大阪こなもん酒場 たこやき番長,045-211-4445
2020-01-30,兵庫県,お好み焼 鉄板焼 つくし 垂水店,078-707-0256
2020-01-29,大阪府,北新地 たこ焼き No.1,06-4797-5006
2020-01-24,大阪府,ジャンボ酒場 大阪狭山市駅前店,072-366-6677
2020-01-24,東京都,月島もんじゃ おこげ 渋谷,03-5422-3665
2020-01-20,東京都,築地銀だこ ハイボール横丁 東銀座店,03-6260-6130
2020-01-17,大阪府,たこ焼きくれおーる タグボート大正店,080-3787-4262
2020-01-15,東京都,たぎつ屋 高田馬場店,03-6205-9513
2019-12-27,大阪府,鶴橋風月 リンクス梅田店,06-6377-2319
2019-12-21,大阪府,TAKO BUSTERS（タコバスターズ）,06-4256-6632
2019-12-13,大阪府,ジャンボ酒場 香里園店,072-833-7722
2019-12-11,愛知県,東京下町もんじゃ屋 Rikyu,090-4503-2471
2019-12-05,京都,風車 山科椥辻店,075-644-5139
2019-12-04,東京都,築地銀だこ 大衆酒場 勝どき店,03-6204-9293
2019-12-02,大阪府,風月 瓢箪山店,0729-89-1427
2019-12-01,東京都,こなもんや九じゅう,03-6426-9826
2019-11-29,東京都,築地銀だこ 南町田グランベリーパーク店,042-850-7510
2019-11-26,神奈川県,お好み たまちゃんJr. マルイファミリー溝の口店,044-819-7980
2019-11-22,静岡県,お好み焼きPIYO,080-5151-3835
2019-11-21,北海道,風月 南23条店,011-596-8985
2019-11-20,広島県,徳川 八木店,—
2019-11-19,東京都,お江戸もんじゃラムネ,03-6550-9580
2019-11-14,東京都,ギンダコ秋葉横丁,03-6206-8900
2019-11-11,岐阜県,お好み焼専門店 おく十 多治見店,070-3345-3247
2019-11-10,京都,お好み焼はここやねん 四条河原町店,075-212-5539
2019-11-08,東京都,お好み たまちゃん  渋谷スクランブルスクエア店,03-6803-8336
2019-11-08,東京都,もへじ 渋谷スクランブルスクエア店,03-6805-1518
2019-10-31,福岡県,お好み焼き 牛すじうどん まるいち,093-691-9777
2019-10-29,東京都,月島もんじゃ がってん,03-6225-0468
2019-10-23,千葉県,築地銀だこ テラスモール松戸店,047-700-5056
2019-10-22,滋賀県,おこのみ屋 ももたろう,077-586-8929
2019-10-17,千葉県,ポッポ幕張店,043-296-0678
2019-10-09,埼玉県,わいず春日部店,048-792-0593
2019-10-02,静岡県,築地銀だこ ららぽーと沼津店,055-943-5103
2019-10-01, 宮城県,たこ焼き福家,—
2019-09-26,東京都,鉄板焼・お好焼 maido OSAKAきっちん。,03-6665-0996
2019-09-20,北海道,たこやき 利久,011-671-1888
2019-09-15,東京都,お好み焼き 焼朗,080-4688-9127
2019-09-13,大阪府,タコヤキ ナカヤ,072-931-3500
2019-09-05,北海道,たこ焼き菜々 富岡店,070-4231-9563
2019-08-28,京都,京都 たこ壱 堀川今出川店,075-414-7770
2019-08-26,大阪府,大正お好み屋 ままま,06-6552-1109
2019-08-08,北海道,風月 狸小路4丁目店,011ｰ231ｰ6665
2019-08-05,東京都,お好み焼きもんじゃ これから,03-6658-8229
2019-08-01,愛知県,じゃけん 名古屋2号店,052-526-7522
2019-07-31,大阪府,築地銀だこ 大衆酒場 阪急十三駅店,06-6829-7759
2019-07-29,東京都,錦わらい 五反田店,03-6910-4612
2019-07-21,埼玉県,たこ家道頓堀 くくる ルミネ大宮Ⅱ店,048-778-9790
2019-07-20,愛知県,お好み焼 鉄板焼 おかげ 藤が丘店,052-717-5456
2019-07-19,長崎県,こなり (conari),095-865-7812
2019-07-18,東京都,築地銀だこハイボール酒場 京王八王子駅店,042-649-2658
2019-07-18,愛知県,山忠 フレスポ春日井店,–
2019-07-17,兵庫県,粉もん屋八 神戸元町店,078-335-7689
2019-07-15,兵庫県,粉もん屋八 神戸元町店,078-335-7689
2019-07-08,広島県,お好み焼き nacca,082-240-7007
2019-07-03,兵庫県,おやつ工房,078-611-1257
2019-07-01,東京都,お笑いもんじゃ,03-6881-9363
2019-06-30,沖縄県,みっちゃん総本店監修 元祖広島お好み焼物語,098-975-9668
2019-06-28,広島県,お好み一番地 ゆめタウン福山,084-924-3464
2019-06-25,東京都,錦わらい 三軒茶屋店,03-6453-4631
2019-06-22,沖縄県,築地銀だこ 浦添PARCO CITY店,098-917-4440
2019-06-15,東京都,OCOMO 小岩,03-6657-8870
2019-06-13,奈良県,粉もん屋八 ザ・ビッグエクストラ大安寺店,090-9712-1538
2019-06-06,埼玉県,築地銀だこ大衆酒場 川越店,049-298-5151
2019-06-06,東京都,築地銀だこ大衆酒場 高田馬場さかえ通り店,03-6908-7478
