ShopName,Date,Prefecture,Phone,genres
アゴラ カフェ 日本橋店,2020-12-31,東京都,03-6262-6331,None
ラ・オハナ 多摩境店,2020-12-29,東京都,042-700-2208, #ハワイ料理
CAFE noi 前橋朝倉町本店,2020-12-25,群馬県,027-226-6636,None
Biwa collage ビワコラージュ,2020-12-24,滋賀県,0749-53-2831,None
マックスカフェ 博多駅前店,2020-12-24,福岡県,092-419-2288, #カフェ #カレーライス #パスタ
マックスカフェ 立川駅前店,2020-12-24,東京都,042-548-5222, #カフェ #カレーライス #パスタ
PRONTO アクエル前橋店,2020-12-24,群馬県,027-212-2069,None
ぐりちねcafe,2020-12-24,静岡県,054-636-1010, #ハンバーガー #カフェ #丼もの（その他）
カメイサンのカフェ,2020-12-23,三重県,0598-21-1608, #パン #サンドイッチ #カフェ
The Room COFFEE & BAR,2020-12-22,東京都,, #カフェ
PRESSO cafe&bar,2020-12-22,東京都,, #カフェ
多国籍レストラン ありがとう,2020-12-22,鹿児島県,0995-56-8588, #無国籍料理 #フレンチ #イタリアン
Drip-X-Cafe ヴィアイン大阪京橋店,2020-12-21,大阪府,06-6315-0100, #カフェ
宇宙空間体験型コンセプトカフェ SORAYUME,2020-12-20,兵庫県,078-945-7035,None
CHEESE RESTAURANT RICOTTA ららぽーと和泉,2020-12-20,大阪府,0725-51-3295, #洋食・欧風料理（その他）
カフェチャオプレッソDue(ドゥエ),2020-12-20,大阪府,06-6654-4603,None
ラ・オハナ 宮前平店,2020-12-20,神奈川県,044-856-7251, #ハワイ料理
CAFFE & DINING SHACHI,2020-12-19,埼玉県,, #カフェ #イタリアン #パスタ
CAFE & SOUND HOUSE LIFE SEED,2020-12-17,沖縄県,098-989-7556,None
unis （ユニ）,2020-12-16,東京都,, #モダンフレンチ #フレンチ #イノベーティブ・フュージョン
CHEESE RESTAURANT RICOTTA イオンモール長久手,2020-12-14,愛知県,0561-64-7077, #洋食・欧風料理（その他）
CAFE DINING ＆ BAR CALICO,2020-12-14,愛媛県,090-2893-1760,None
ステージ併設型カフェ＆バー idoRe: 渋谷店,2020-12-12,東京都,070-4371-8063,None
Restaurant L’ARGENT (レストラン ラルジャン),2020-12-12,東京都,03-6280-6234, #モダンフレンチ #フレンチ #ワインバー
the RESTAURANT（ザ・レストラン）,2020-12-12,群馬県,027-231-2020, #炭火焼き #その他肉料理 #イタリアン
no-mu cafe,2020-12-11,京都府,, #カフェ
cafe&bar +PLUS C,2020-12-09,東京都,, #カフェ #バー
Cafe Chiffon Cake Lab,2020-12-06,東京都,, #カフェ
小皿レストラン グリルすずらん,2020-12-06,福島県,024-563-3120,None
Hawaiian Pancake＆Cafe Merengue 光が丘IMA店,2020-12-05,東京都,03-6909-9511, #パンケーキ #ハワイ料理
CHEESE RESTAURANT RICOTTA イオンモール岡山,2020-12-05,岡山県,086-803-6255, #洋食・欧風料理（その他）
岩国ボードゲームカフェ AREA51,2020-12-05,山口県,070-5526-1438, #その他
Leberment吉祥寺店,2020-12-05,東京都,0422-77-3001,None
西条美食cafe Motto Kamo (モットカモ）,2020-12-04,広島県,082-422-1313,None
cafe rob イオンモール名古屋茶屋店,2020-12-04,愛知県,052-212-7343,None
プラスシュガー（+Sugar）,2020-12-04,愛知県,070-1428-8961, #カフェ
Mother Moon Cafe 姫路店,2020-12-03,兵庫県,079-288-3577,None
mr.kanso×ITSUMO,2020-12-03,千葉県,043-310-7970, #その他
Café＆Meal_MUJI東京有明,2020-12-02,東京都,,None
シーシャカフェ&バー ペルシア 福岡店,2020-12-01,福岡県,080-6401-8197,None
カフェダイニング ZEN,2020-12-01,愛知県,052-825-9777, #洋食 #ハンバーグ #居酒屋
カフェNecco,2020-11-30,兵庫県,, #カフェ #カフェ・喫茶（その他）
チーズと生はちみつ BeNe あべのキューズモール,2020-11-30,大阪府,06-6585-7588, #イタリアン #ピザ #パスタ
PRONTOプロント 品川高輪店,2020-11-30,東京都,03-5475-6641,None
TAILORED CAFE テイラードカフェ 六本木,2020-11-29,東京都,03-6447-0044,None
エリック・ローズ(ERIC ROSE),2020-11-29,東京都,03-6384-5666, #カフェ
登るや,2020-11-29,石川県,076-262-2468, #ステーキ #すき焼き #しゃぶしゃぶ
淡路キッチン とりぶ,2020-11-28,岡山県,086-230-2210, #ダイニングバー #居酒屋
Cotelette×卵 君と、しろみ,2020-11-27,京都府,075-644-6412, #カフェ #パンケーキ
猫カフェ 猫喫茶 空陸家 アクロスモール新鎌ケ谷店,2020-11-27,千葉県,047-402-2787,None
CHEESE RESTAURANT RICOTTA ららぽーと甲子園,2020-11-26,兵庫県,0798-48-6370, #洋食・欧風料理（その他）
CHEESE RESTAURANT RICOTTA 阪急三番街,2020-11-26,大阪府,06-6292-7140, #洋食・欧風料理（その他）
Hicity square café/bar エイチ・アイ・シティ スクエア カフェバー,2020-11-24,東京都,,None
Clay Coffee & Gallery,2020-11-23,沖縄県,,None
Pebblou cafe,2020-11-22,大分県,097-578-8558, #カフェ #ハンバーグ #スイーツ（その他）
Baluko Laundry Place 福岡多々良,2020-11-21,福岡県,092-671-6008, #カフェ・喫茶（その他） #パン
I am Jackie.,2020-11-21,滋賀県,, #カフェ
はしもとパーラー,2020-11-21,岐阜県,, #カフェ
CBD(coffee)麻布十番店,2020-11-20,東京都,03-6887-0302, #カフェ #サンドイッチ
猫カフェMOCHA イオンモール幕張新都心店,2020-11-20,千葉県,043-307-2555, #その他
Minette ミネット,2020-11-19,東京都,, #イタリアン #バル・バール #パスタ
GUNDAM Café HANEDA Airport Satellite,2020-11-19,東京都,070-3191-4785, #カフェ・喫茶（その他）
LE MACCHAN （ルマッシャン）,2020-11-19,兵庫県,050-8881-0002, #フレンチ #レストラン（その他） #イタリアン
cafebar Wits,2020-11-17,愛知県,050-5327-5686, #バー #カフェ
MOO CAFE,2020-11-17,群馬県,027-288-0348, #カフェ #スイーツ（その他）
Le Koppi（ル コピ）,2020-11-17,山梨県,080-5958-3444, #カフェ #パン #洋菓子（その他）
Café & Bakery GGCo. 神谷町,2020-11-16,東京都,03-6381-5309,None
タピオカ＆リゾート 空海 手稲店,2020-11-16,北海道,011-600-1255, #カフェ #喫茶店 #パン・サンドイッチ（その他）
レストランカラオケ エルカーサ,2020-11-15,北海道,011-520-2770, #その他
秋葉原和堂 (あきはばらなごみどう),2020-11-14,東京都,03-6284-4369, #カフェ #カフェ・喫茶（その他）
ベトナムカフェ&雑貨dethuong(イエトゥーン),2020-11-14,兵庫県,080-4399-3088,None
FARMDELI 南宇都宮店,2020-11-13,栃木県,028-612-8998,None
猫カフェMOCHA（モカ）宮崎橘通店,2020-11-12,宮崎県,0985-72-8290, #その他
花商 那覇金城店,2020-11-11,沖縄県,098-859-7033, #カフェ
カフェねねね,2020-11-08,東京都,03-5964-5477, #スープ #おにぎり #カフェ
omoや545,2020-11-08,岡山県,050-3740-8545,None
Diners Restaurant bar & Cafe,2020-11-07,静岡県,0545-30-9151, #フレンチ #ビストロ
KOSUGI CAFE nappa69,2020-11-06,神奈川県,044-281-0769, #カフェ #イタリアン #パフェ
B TO GO,2020-11-06,東京都,03-6659-2714, #カフェ
ムッチーズ カフェ西荻窪店,2020-11-06,東京都,03-5364-9190,None
S（エス）,2020-11-05,東京都,03-6447-7101, #イタリアン #ワインバー #炭火焼き
Mr.FARMER アトレ恵比寿店,2020-11-05,東京都,03-5475-8431, #カフェ #パスタ #スイーツ（その他）
BAKERY&CAFE VOIE LACTEE,2020-11-04,東京都,03-3711-1610, #カフェ #パン
THE UPPER,2020-11-04,東京都,050-1743-1200, #モダンフレンチ #イノベーティブ・フュージョン #バー
Darts Cafe UNO 三軒茶屋,2020-11-04,東京都,03-6413-8224,None
サテンドール Jazz Restaurant Satin Doll,2020-11-03,東京都,03-3401-3080,None
Baluko Laundry Place たまプラーザ,2020-11-03,神奈川県,03-6630-2632,None
ノイロ.2nddining,2020-11-03,神奈川県,042-711-7377, #カフェ
カフェバー&ダイニング CANTINA立川店,2020-11-03,東京都,042-533-6930, #イタリアン #パスタ #ピザ
ASAFUKU CAFÉ,2020-11-02,三重県,0596-64-8111, #カフェ #ピザ
FLUX CAFE 田町,2020-11-02,東京都,03-6435-1621, #カフェ #ジュースバー
Cafe MoMo,2020-11-01,香川県,, #カフェ
crepe cafe gufo,2020-11-01,広島県,084-999-5333,None
カフェアンドダイニング ナチュラリスト,2020-11-01,福岡県,092-791-2270, #カフェ #イタリアン #ビストロ
わんすたCafe＆酒場,2020-11-01,東京都,0422-24-9833, #カフェ #居酒屋 #ハンバーグ
Plume（プリュム）,2020-11-01,滋賀県,0748-69-7552, #バー
