ShopName,Date,Prefecture,longitude,latitude,Open,genres
MIHO’S HERB CHICKEN CAFE,2021-11-10,滋賀県,136.1615540156866,34.92631757860785,1, #カフェ #デリカテッセン #弁当
FLAP FLY(フラップ フライ),2021-11-08,大分県,131.7203863156583,33.24143626746599,1, #カフェ
LATTE GRAPHIC 武蔵小杉,2021-11-08,神奈川県,139.65759501569764,35.576001543342365,1, #カフェ #ステーキ #ダイニングバー
Bespoke,2021-11-07,兵庫県,135.1912074292509,34.69234160146065,1, #カフェ #焼鳥 #ピザ
ICOR NISEKO ( イコ ニセコ ),2021-11-06,北海道,140.72458351583734,42.816867314122206,1, #カフェ
橙子猫 – Orange Cat –,2021-11-03,東京都,139.71895046479054,35.70944869320235,1,Unfound
cafe 寿庵,2021-11-03,大阪府,135.6031398484932,34.49913452264544,1, #カフェ
yacore(ヤコア),2021-11-01,東京都,139.5749096668872,35.70165758748102,1, #カフェ
cafe atmass（カフェ アトマス）,2021-11-01,愛知県,136.9101237156904,35.15307586636236,1, #カフェ
SHUWA TORI（シュワ トリ）,2021-11-01,愛知県,136.89502921569044,35.16789436555944,1, #カフェ #居酒屋
hanane 肥後橋（ハナネ）,2021-11-01,大阪府,135.49409581568253,34.68951789132371,1, #カフェ
カフェ 33,2021-11-01,京都府,135.77260507671502,34.98883823034299,1, #カフェ #ハンバーガー #バイキング
農家レストラン 陽・燦燦,2021-10-31,兵庫県,134.96819621568025,34.56379419804491,1,Unfound
薪火料理 FIREPIT（ファイヤーピット）,2021-10-30,新潟県,139.05725594416404,37.91661432794845,1, #イタリアン #創作料理 #その他肉料理
JELLY JELLY STORE 池袋店,2021-10-30,東京都,139.71089881570032,35.72855903498144,1,Unfound
たかおかCafe中村店,2021-10-30,愛知県,136.8712596292513,35.16562889511032,1, #カフェ #カレー（その他） #串揚げ・串かつ
コンセプトカフェサンタクララ,2021-10-30,茨城県,139.80870968512204,36.17226733574668,1,Unfound
TAVERN by the green（タバーン・バイ ザ グリーン）,2021-10-28,東京都,139.71093282845007,35.66545647492194,1, #ダイニングバー #ステーキ #カフェ
Holly’s Cafe アリオ八尾店（ホリーズ カフェ）,2021-10-28,大阪府,135.60613496800704,34.6324388851427,1, #カフェ
Naughty By Nature（ノーティ バイ ネイチャー）,2021-10-28,沖縄県,127.75319351934024,26.320032674468955,1, #バー・お酒（その他） #ハンバーガー
旬菜CAFE ふ輪り,2021-10-28,茨城県,140.5174955157131,36.4559839946986,1, #カフェ
kululu_petit_cafe クルルプチカフェ,2021-10-27,兵庫県,135.2739245006538,34.71958733315743,1,Unfound
金澤ミジェット Nstyle CAFE,2021-10-26,石川県,136.64951088094716,36.55983401196438,1, #バー
nichi cafe,2021-10-26,京都府,135.6972066655147,34.987624419272635,1, #カフェ #野菜料理
STATION WINERY by SHIDAX,2021-10-25,大阪府,135.4928908156827,34.701940890658584,1, #イタリアン #フレンチ #ワインバー
